   ,002f4c,005c84,fafafa,003784,0265ca,68b9e8,91dcf4,cbebfd,00ddff,111111,3e3836,706b69,b3a59d,d1c6c0,ece6e1,fbf9f7,495961,758d9a,9eb1bd,e1e8ec,f5f5f5,00403e,0c838c,00b0b3,83dbd2,c9f7f0,00ffae,01530d,0c8c41,8bd100,83db8c,d4f7c9,cfff00,5a0202,e63037,ef7d00,fcbc00,fff4dd,fbfc00,6c0370,d500a0,ea42cb,db83d4,ece1ec,ff34d3
c9f7f0,AAA,AA,F,AAA,AA,F,F,F,F,AAA,AAA,AA,F,F,F,F,AA,F,F,F,F,AAA,G,F,F,F,F,AAA,G,F,F,F,F,AAA,G,F,F,F,F,AAA,G,F,F,F,F
00ffae,AAA,AA,F,AAA,G,F,F,F,F,AAA,AAA,G,F,F,F,F,AA,F,F,F,F,AAA,G,F,F,F,F,AAA,G,F,F,F,F,AAA,G,F,F,F,F,AAA,G,F,F,F,F
01530d,F,F,AAA,F,F,G,AA,AAA,AA,F,F,F,G,AA,AAA,AAA,F,F,G,AAA,AAA,F,F,G,AA,AAA,AAA,F,F,AA,AA,AAA,AAA,F,F,G,AA,AAA,AAA,F,F,F,G,AAA,F
0c8c41,G,F,G,F,F,F,F,G,F,G,F,F,F,F,G,G,F,F,F,G,G,F,F,F,F,G,G,F,F,F,F,G,G,G,F,F,F,G,G,F,F,F,F,G,F
8bd100,AAA,G,F,AA,G,F,F,F,F,AAA,AA,F,F,F,F,F,G,F,F,F,F,AA,F,F,F,F,F,AA,F,F,F,F,F,AAA,F,F,F,F,F,AA,F,F,F,F,F
83db8c,AAA,G,F,AA,G,F,F,F,F,AAA,AA,G,F,F,F,F,G,F,F,F,F,AA,F,F,F,F,F,AA,F,F,F,F,F,AAA,F,F,F,F,F,AA,F,F,F,F,F
d4f7c9,AAA,AA,F,AAA,AA,F,F,F,F,AAA,AAA,G,F,F,F,F,AA,F,F,F,F,AAA,G,F,F,F,F,AAA,G,F,F,F,F,AAA,G,F,F,F,F,AAA,G,F,F,F,F
cfff00,AAA,AA,F,AAA,AA,F,F,F,F,AAA,AAA,G,F,F,F,F,AA,F,F,F,F,AAA,G,F,F,F,F,AAA,G,F,F,F,F,AAA,G,F,F,F,F,AAA,G,F,F,F,F
5a0202,F,F,AAA,F,F,AA,AAA,AAA,AAA,F,F,F,AA,AAA,AAA,AAA,F,G,AA,AAA,AAA,F,G,AA,AAA,AAA,AAA,F,G,AAA,AAA,AAA,AAA,F,G,AA,AAA,AAA,AAA,F,G,G,AA,AAA,AA
e63037,G,F,G,F,F,F,F,G,F,G,F,F,F,F,G,G,F,F,F,G,G,F,F,F,F,G,G,F,F,F,F,G,G,G,F,F,F,G,G,F,F,F,F,G,F
ef7d00,AA,F,F,G,F,F,F,F,F,AA,G,F,F,F,F,F,F,F,F,F,F,G,F,F,F,F,F,G,F,F,F,F,F,AA,F,F,F,F,F,G,F,F,F,F,F
fcbc00,AAA,G,F,AA,G,F,F,F,F,AAA,AA,G,F,F,F,F,G,F,F,F,F,AA,F,F,F,F,F,AA,F,F,F,F,F,AAA,F,F,F,F,F,AA,F,F,F,F,F
fff4dd,AAA,AA,F,AAA,AA,F,F,F,F,AAA,AAA,AA,F,F,F,F,AA,G,F,F,F,AAA,G,F,F,F,F,AAA,G,F,F,F,F,AAA,G,F,F,F,F,AAA,G,G,F,F,F
fbfc00,AAA,AA,F,AAA,AA,F,F,F,F,AAA,AAA,AA,F,F,F,F,AA,G,F,F,F,AAA,G,F,F,F,F,AAA,G,F,F,F,F,AAA,G,F,F,F,F,AAA,G,G,F,F,F
6c0370,F,F,AAA,F,F,AA,AAA,AAA,AA,F,F,F,AA,AA,AAA,AAA,F,G,AA,AAA,AAA,F,F,G,AA,AAA,AAA,F,F,AA,AA,AAA,AAA,F,F,G,AA,AAA,AAA,F,F,G,G,AAA,G
d500a0,F,F,AA,F,F,F,G,G,F,G,F,F,F,F,G,AA,F,F,F,G,G,F,F,F,G,G,G,F,F,F,F,G,G,G,F,F,F,G,G,F,F,F,F,G,F
ea42cb,G,F,G,G,F,F,F,F,F,AA,G,F,F,F,F,G,F,F,F,F,G,G,F,F,F,F,F,F,F,F,F,F,F,G,F,F,F,G,G,G,F,F,F,F,F
db83d4,AA,F,F,G,F,F,F,F,F,AAA,AA,F,F,F,F,F,F,F,F,F,F,AA,F,F,F,F,F,G,F,F,F,F,F,AA,F,F,F,F,F,G,F,F,F,F,F
ece1ec,AAA,AA,F,AAA,G,F,F,F,F,AAA,AAA,G,F,F,F,F,AA,F,F,F,F,AAA,G,F,F,F,F,AAA,G,F,F,F,F,AAA,G,F,F,F,F,AAA,G,F,F,F,F
ff34d3,G,F,G,G,F,F,F,F,F,AA,G,F,F,F,F,F,F,F,F,F,F,G,F,F,F,F,F,F,F,F,F,F,F,AA,F,F,F,F,F,G,F,F,F,F,F
