   ,FFFFFF,495961,E1E8EC,005C84,4BB694,FCBC00
FFFFFF,1,7.27,1.23,7.33,2.49,1.70
495961,7.27,1,5.87,1.00,2.91,4.27
E1E8EC,1.23,5.87,1,5.92,2.01,1.37
005C84,7.33,1.00,5.92,1,2.93,4.30
4BB694,2.49,2.91,2.01,2.93,1,1.46
FCBC00,1.70,4.27,1.37,4.30,1.46,1
