   ,FFFFFF,222222,ffcc00,cdcba2,c0a878,014266,641717,3f653a,b3b3b3,d5d7d8
FFFFFF,F,AAA,F,F,F,AAA,AAA,AA,F,F
222222,AAA,F,AAA,AAA,AA,F,F,F,AAA,AAA
ffcc00,F,AAA,F,F,F,AAA,AAA,G,F,F
cdcba2,F,AAA,F,F,F,AA,AAA,G,F,F
c0a878,F,AA,F,F,F,AA,AA,F,F,F
014266,AAA,F,AAA,AA,AA,F,F,F,AA,AAA
641717,AAA,F,AAA,AAA,AA,F,F,F,AA,AAA
3f653a,AA,F,G,G,F,F,F,F,G,AA
b3b3b3,F,AAA,F,F,F,AA,AA,G,F,F
d5d7d8,F,AAA,F,F,F,AAA,AAA,AA,F,F
