   ,E31837,000000,FFFFFF,AF0D1A,810001,3AC2EF,ACE6F8,E1DFDC,D6CFCA,B7AEA9,686260
E31837,F,G,AA,F,F,F,G,G,G,F,F
000000,G,F,AAA,F,F,AAA,AAA,AAA,AAA,AAA,G
FFFFFF,AA,AAA,F,AAA,AAA,F,F,F,F,F,AA
AF0D1A,F,F,AAA,F,F,G,AA,AA,AA,G,F
810001,F,F,AAA,F,F,AA,AAA,AAA,AAA,AA,F
3AC2EF,F,AAA,F,G,AA,F,F,F,F,F,F
ACE6F8,G,AAA,F,AA,AAA,F,F,F,F,F,G
E1DFDC,G,AAA,F,AA,AAA,F,F,F,F,F,AA
D6CFCA,G,AAA,F,AA,AAA,F,F,F,F,F,G
B7AEA9,F,AAA,F,G,AA,F,F,F,F,F,F
686260,F,G,AA,F,F,F,G,AA,G,F,F
