   ,FFFFFF,003882,05345C,937227,9CA1BD,671115,133520,345235
FFFFFF,F,AAA,AAA,G,F,AAA,AAA,AAA
003882,AAA,F,F,F,G,F,F,F
05345C,AAA,F,F,F,AA,F,F,F
937227,G,F,F,F,F,F,G,F
9CA1BD,F,G,AA,F,F,AA,AA,G
671115,AAA,F,F,F,AA,F,F,F
133520,AAA,F,F,G,AA,F,F,F
345235,AAA,F,F,F,G,F,F,F
